node_type_id model_template morphology model_type pop_name
100 hoc:RTMExcCell blank.swc biophysical 0_E
101 hoc:WBInhCell blank.swc biophysical 0_I
102 hoc:RTMExcCell blank.swc biophysical 1_E
103 hoc:WBInhCell blank.swc biophysical 1_I
